donor,media,sample,pre_mass,wet_mass,wet_biomass,wet_g_l
13,LB,13.1.1,1.03589,1.04508,0.00919,9.19
13,LB,13.1.2,1.03769,1.04656,0.00887,8.87
13,BB,13.2.1,1.04403,1.05076,0.00673,6.73
13,BB,13.2.2,1.04334,1.05073,0.00739,7.39
13,BHI,13.3.1,1.03829,1.05086,0.01257,12.57
13,BHI,13.3.2,1.03676,1.04991,0.01315,13.15
13,liver,13.4.1,1.03667,1.05043,0.01376,13.76
13,liver,13.4.2,1.04319,1.05495,0.01176,11.76
13,GAM,13.5.1,1.03789,1.05133,0.01344,13.44
13,GAM,13.5.2,1.04225,1.0567,0.01445,14.45
13,GMM,13.6.1,1.04333,1.05219,0.00886,8.86
13,GMM,13.6.2,1.04586,1.05534,0.00948,9.48
13,RCM,13.7.1,1.04555,1.08984,0.04429,44.29
13,RCM,13.7.2,1.04291,1.09059,0.04768,47.68
13,MRS,13.8.1,1.04448,1.05615,0.01167,11.67
13,MRS,13.8.2,1.04203,1.05383,0.0118,11.8
13,TB,13.9.1,1.04521,1.05895,0.01374,13.74
13,TB,13.9.2,1.0419,1.05492,0.01302,13.02
13,BG,13.10.1,1.03881,1.04841,0.0096,9.6
13,BG,13.10.2,1.03787,1.04836,0.01049,10.49
14,LB,14.1.1,1.03863,1.04634,0.00771,7.71
14,LB,14.1.2,1.04344,1.05098,0.00754,7.54
14,BB,14.2.1,1.04238,1.04564,0.00326,3.26
14,BB,14.2.2,1.04309,1.04757,0.00448,4.48
14,BHI,14.3.1,1.03877,1.05019,0.01142,11.42
14,BHI,14.3.2,1.04703,1.05788,0.01085,10.85
14,liver,14.4.1,1.04788,1.05712,0.00924,9.24
14,liver,14.4.2,1.0435,1.05402,0.01052,10.52
14,GAM,14.5.1,1.03854,1.06092,0.02238,22.38
14,GAM,14.5.2,1.04638,1.0531,0.00672,6.72
14,GMM,14.6.1,1.03763,1.04832,0.01069,10.69
14,GMM,14.6.2,1.04457,1.05583,0.01126,11.26
14,RCM,14.7.1,1.03745,1.07853,0.04108,41.08
14,RCM,14.7.2,1.04372,1.08564,0.04192,41.92
14,MRS,14.8.1,1.04681,1.06164,0.01483,14.83
14,MRS,14.8.2,1.03795,1.05154,0.01359,13.59
14,TB,14.9.1,1.03816,1.05116,0.013,13
14,TB,14.9.2,1.04207,1.05536,0.01329,13.29
14,BG,14.10.1,1.04506,1.055,0.00994,9.94
14,BG,14.10.2,1.03754,1.04681,0.00927,9.27
15,LB,15.1.1,1.03776,1.054,0.01624,16.24
15,LB,15.1.2,1.03308,1.04123,0.00815,8.15
15,BB,15.2.1,1.03309,1.03881,0.00572,5.72
15,BB,15.2.2,1.0365,1.04292,0.00642,6.42
15,BHI,15.3.1,1.03643,1.04816,0.01173,11.73
15,BHI,15.3.2,1.03434,1.0475,0.01316,13.16
15,liver,15.4.1,1.03316,1.0436,0.01044,10.44
15,liver,15.4.2,1.03811,1.04988,0.01177,11.77
15,GAM,15.5.1,1.03614,1.05313,0.01699,16.99
15,GAM,15.5.2,1.03381,1.05413,0.02032,20.32
15,GMM,15.6.1,1.03778,1.0485,0.01072,10.72
15,GMM,15.6.2,1.03608,1.0467,0.01062,10.62
15,RCM,15.7.1,1.03836,1.08614,0.04778,47.78
15,RCM,15.7.2,1.03547,1.08085,0.04538,45.38
15,MRS,15.8.1,1.03778,1.04972,0.01194,11.94
15,MRS,15.8.2,1.03447,1.04567,0.0112,11.2
15,TB,15.9.1,1.04202,1.05107,0.00905,9.05
15,TB,15.9.2,1.03903,1.05503,0.016,16
15,BG,15.10.1,1.03737,1.04831,0.01094,10.94
15,BG,15.10.2,1.03743,1.04957,0.01214,12.14
16,LB,16.1.1,1.03879,1.04755,0.00876,8.76
16,LB,16.1.2,1.03776,1.04618,0.00842,8.42
16,BB,16.2.1,1.0335,1.0394,0.0059,5.9
16,BB,16.2.2,1.03613,1.04331,0.00718,7.18
16,BHI,16.3.1,1.03639,1.05259,0.0162,16.2
16,BHI,16.3.2,1.03861,1.05494,0.01633,16.33
16,liver,16.4.1,1.03433,1.05417,0.01984,19.84
16,liver,16.4.2,1.03802,1.0558,0.01778,17.78
16,GAM,16.5.1,1.03835,1.05861,0.02026,20.26
16,GAM,16.5.2,1.03834,1.06166,0.02332,23.32
16,GMM,16.6.1,1.0385,1.05143,0.01293,12.93
16,GMM,16.6.2,1.04353,1.05672,0.01319,13.19
16,RCM,16.7.1,1.03603,1.07702,0.04099,40.99
16,RCM,16.7.2,1.03772,1.07906,0.04134,41.34
16,MRS,16.8.1,1.03833,1.05912,0.02079,20.79
16,MRS,16.8.2,1.03551,1.05637,0.02086,20.86
16,TB,16.9.1,1.03598,1.05108,0.0151,15.1
16,TB,16.9.2,1.03837,1.05503,0.01666,16.66
16,BG,16.10.1,1.03695,1.04832,0.01137,11.37
16,BG,16.10.2,1.03777,1.04955,0.01178,11.78
17,LB,17.1.1,1.03792,1.05088,0.01296,12.96
17,LB,17.1.2,1.0368,1.04504,0.00824,8.24
17,BB,17.2.1,1.03695,1.04199,0.00504,5.04
17,BB,17.2.2,1.03651,1.04099,0.00448,4.48
17,BHI,17.3.1,1.03738,1.05062,0.01324,13.24
17,BHI,17.3.2,1.03589,1.04874,0.01285,12.85
17,liver,17.4.1,1.03886,1.05018,0.01132,11.32
17,liver,17.4.2,1.0342,1.04491,0.01071,10.71
17,GAM,17.5.1,1.03643,1.05381,0.01738,17.38
17,GAM,17.5.2,1.03685,1.05433,0.01748,17.48
17,GMM,17.6.1,1.03447,1.05126,0.01679,16.79
17,GMM,17.6.2,1.03823,1.05193,0.0137,13.7
17,RCM,17.7.1,1.04414,1.08476,0.04062,40.62
17,RCM,17.7.2,1.03625,1.07901,0.04276,42.76
17,MRS,17.8.1,1.04156,1.05342,0.01186,11.86
17,MRS,17.8.2,1.03765,1.04957,0.01192,11.92
17,TB,17.9.1,1.04456,1.06051,0.01595,15.95
17,TB,17.9.2,1.04133,1.05678,0.01545,15.45
17,BG,17.10.1,1.03892,1.05161,0.01269,12.69
17,BG,17.10.2,1.03814,1.05278,0.01464,14.64
18,LB,18.1.1,1.03403,1.04308,0.00905,9.05
18,LB,18.1.2,1.03703,1.04824,0.01121,11.21
18,BB,18.2.1,1.04093,1.04538,0.00445,4.45
18,BB,18.2.2,1.04342,1.04856,0.00514,5.14
18,BHI,18.3.1,1.0435,1.05837,0.01487,14.87
18,BHI,18.3.2,1.03589,1.05126,0.01537,15.37
18,liver,18.4.1,1.03585,1.04676,0.01091,10.91
18,liver,18.4.2,1.03693,1.05124,0.01431,14.31
18,GAM,18.5.1,1.04157,1.06245,0.02088,20.88
18,GAM,18.5.2,1.04469,1.06554,0.02085,20.85
18,GMM,18.6.1,1.03332,1.04507,0.01175,11.75
18,GMM,18.6.2,1.03619,1.04764,0.01145,11.45
18,RCM,18.7.1,1.03685,1.07811,0.04126,41.26
18,RCM,18.7.2,1.04307,1.08343,0.04036,40.36
18,MRS,18.8.1,1.03761,1.04784,0.01023,10.23
18,MRS,18.8.2,1.03848,1.04984,0.01136,11.36
18,TB,18.9.1,1.03371,1.04898,0.01527,15.27
18,TB,18.9.2,1.04117,1.0586,0.01743,17.43
18,BG,18.10.1,1.03793,1.05023,0.0123,12.3
18,BG,18.10.2,1.03664,1.04953,0.01289,12.89
19,LB,19.1.1,1.03675,1.04555,0.0088,8.8
19,LB,19.1.2,1.03317,1.04139,0.00822,8.22
