#OTU ID	EF1.G	EF1.G.3	EF1.L	EF1.R	EF5	HD1.BB.01	HD1.BB.02	HD1.BB.03	HD1.BB.04	HD1.BB.FFC	HD1.BestMix.01	HD1.BestMix.01.PBSr	HD1.BestMix.02	HD1.BestMix.03	HD1.BestMix.04	HD1.BHI.01	HD1.BHI.01.PBSr	HD1.BHI.02	HD1.BHI.03	HD1.BHI.04	HD1.BHI.FFC	HD1.BT.01	HD1.BT.01.PBSr	HD1.BT.02	HD1.BT.03	HD1.BT.04	HD1.BT.FFC	HD1.Feces	HD1.GAM.01	HD1.GAM.01.PBSr	HD1.GAM.02	HD1.GAM.03	HD1.GAM.04	HD1.GMM.01	HD1.GMM.01.PBSr	HD1.GMM.02	HD1.GMM.03	HD1.GMM.04	HD1.GMM.FFC	HD1.LB.01	HD1.LB.01.PBSr	HD1.LB.02	HD1.LB.03	HD1.LB.04	HD1.LB.FFC	HD1.Liver.01	HD1.Liver.01.PBSr	HD1.Liver.02	HD1.Liver.03	HD1.Liver.04	HD1.M17.01	HD1.M17.01.PSBr	HD1.M17.02	HD1.M17.03	HD1.M17.04	HD1.Meat.01	HD1.Meat.01.PBSr	HD1.Meat.02	HD1.Meat.03	HD1.Meat.04	HD1.Meat.FFC	HD1.MRS.01	HD1.MRS.01.PBSr	HD1.MRS.02	HD1.MRS.03	HD1.MRS.04	HD1.MRS.FFC	HD1.RCM.01	HD1.RCM.02	HD1.RCM.03	HD1.RCM.04	HD1.RCM.FFC	HD1.TB.01	HD1.TB.01.PBSr	HD1.TB.02	HD1.TB.03	HD1.TB.04	HD1.TB.FFC	HD1.TYG.01	HD1.TYG.01.PBSr	HD1.TYG.02	HD1.TYG.03	HD1.TYG.04	HD1.TYG.FFC	Neg	PBSc.GST
c83c84c8f82639c3bcb16c5630f257b2	0	0	0	0	0	28	54	11293	10	2253	118	1209	1439	1952	1005	2413	2205	1746	912	2489	2404	383	813	1282	1788	1124	610	941	905	2916	1947	3607	3318	735	1305	901	1051	1129	1592	1362	2835	1825	1631	2329	0	447	2409	1097	902	957	23	45	1465	2117	1227	4173	4376	2894	2332	3500	3210	49	257	49	141	118	219	1824	1159	1663	886	687	160	1451	1228	3603	4105	1321	661	770	1039	815	1083	907	0	391
59777186ad2e0947e97615b5d6225136	0	0	0	0	0	338	389	150	34	6637	0	91	10	0	0	62	116	974	515	660	9365	10	210	8	0	0	3438	6738	9370	11235	2663	3603	2964	22	106	9	19	8	2124	0	612	0	0	0	0	27	471	59	256	2453	11	74	406	703	512	17	77	0	0	0	4962	122	188	37	38	32	400	29	34	37	25	9486	0	41	18	0	30	5193	143	6246	214	148	204	8963	0	3011
263e41ea2c25dc87bd2ff5910cf30d40	0	0	0	0	0	0	0	0	0	3688	0	75	0	0	0	18	28	18	22	21	5640	0	130	0	21	0	9199	2572	2128	9038	12446	8275	8929	0	101	5	0	0	7033	0	644	0	0	0	0	116	193	296	525	670	0	37	8	0	17	0	99	28	30	48	4860	0	83	41	22	26	614	77	51	40	25	4806	0	0	0	0	0	537	0	39	0	0	0	1959	0	875
333bbf9224442fc10cd497377d2b1d01	0	0	0	0	0	54	65	389	3930	1597	287	1125	688	878	731	1304	1060	1464	1245	1795	1449	24	447	0	0	0	271	1152	3932	1492	1287	2922	2496	5082	1352	3559	4167	2725	1500	66	1361	860	739	1334	0	53	560	0	0	0	35	191	100	353	223	393	278	1198	1318	1632	1936	0	0	0	14	8	10	154	0	0	0	172	0	122	0	0	0	423	3509	2679	4041	3333	4474	955	0	2696
33518e48b174ac428cb7be1a216c6c6e	0	0	0	0	0	15	30	5	0	707	0	18	5	0	0	610	117	327	183	232	3630	6	8	6	0	0	5397	1860	884	1293	2117	332	325	0	0	0	0	0	1068	0	163	0	0	0	0	0	127	0	0	0	3	278	4572	5757	7903	0	111	29	81	203	2088	24	26	0	4	7	29240	22	14	15	0	5781	0	0	0	0	4	1877	0	6	0	5	0	179	0	590
5f25904e073fe5c114cadfde74349518	0	0	0	0	0	10	0	0	0	1375	5	18	343	8026	6297	0	7	952	6365	7738	1606	0	6	0	0	0	27	165	267	497	1969	1879	1103	0	10	51	1505	1427	718	22	10459	0	0	100	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	662	7	9	0	5	6	0	14	0	0	0	33	0	0	8	0	0	82	8435	3678	1751	1081	967	543	0	81
bf611493002f5918a68778bde2def567	0	0	0	0	0	24	39	15	246	836	22	266	1690	2941	1377	620	1397	1854	1877	448	1499	0	37	0	0	0	93	1229	668	499	4236	971	124	1855	3807	1935	1843	175	817	17	2164	1934	2099	2115	0	0	118	0	0	0	0	58	0	108	17	60	509	5433	6925	4063	2632	0	22	0	8	0	0	17	0	0	0	50	0	27	0	0	0	117	600	2136	1103	1117	736	668	0	1778
69a11f927915e2a3ba1f7b9c84486527	0	0	0	0	0	24	24	9	0	5493	14	1242	53	1247	815	1145	1046	2332	1973	4195	99	157	288	128	160	104	236	475	1096	3754	3634	3507	2934	1130	1343	1476	2394	1581	1092	42	204	1278	1587	1980	0	100	255	75	86	65	10	13	5	17	275	268	215	2962	2874	3660	491	11	26	0	11	5	26	1243	355	644	364	259	82	50	40	152	116	485	304	70	1023	1013	1398	228	0	185
57792c53a2d333164df6681cec040e07	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
a7e0690eacfec307bbfdd161ba281de9	0	0	0	0	0	4	3	11790	0	0	0	0	2757	2489	1778	0	0	0	0	0	0	21	0	0	0	0	0	0	0	7	1466	838	233	137	0	7227	3286	960	0	0	0	1816	4425	4467	0	0	0	0	0	0	0	0	0	0	0	12	0	3664	6059	5703	0	0	0	0	12	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
